site,surber,taxa,n,northing,easting
Burke,s1,Aoteapsyche,19,5343820,1510562
Burke,s1,Austroperla,2,5343820,1510562
Burke,s1,Austrosimulium,12,5343820,1510562
Burke,s1,Ceratopogonidae,4,5343820,1510562
Burke,s1,Chironominae,50,5343820,1510562
Burke,s1,Coloburiscus,5,5343820,1510562
Burke,s1,Copepoda,4,5343820,1510562
Burke,s1,Deleatidium,5,5343820,1510562
Burke,s1,Diamesinae,1,5343820,1510562
Burke,s1,Elmidae,2,5343820,1510562
Burke,s1,Empididae,4,5343820,1510562
Burke,s1,Eriopterini,1,5343820,1510562
Burke,s1,Hydraenidae,1,5343820,1510562
Burke,s1,Hydrobiosis,9,5343820,1510562
Burke,s1,Oligochaetae,54,5343820,1510562
Burke,s1,Orthocladiinae,48,5343820,1510562
Burke,s1,Ostracoda,4,5343820,1510562
Burke,s1,Oxyethira,1,5343820,1510562
Burke,s1,Potamopyrgus,1,5343820,1510562
Burke,s1,Psilochorema,3,5343820,1510562
Burke,s1,Pycnocentria,1,5343820,1510562
Burke,s1,Spaniocerca,21,5343820,1510562
Burke,s1,Zelandobius,3,5343820,1510562
Burke,s2,Acari,1,5343820,1510562
Burke,s2,Aoteapsyche,23,5343820,1510562
Burke,s2,Austroperla,3,5343820,1510562
Burke,s2,Austrosimulium,18,5343820,1510562
Burke,s2,Ceratopogonidae,9,5343820,1510562
Burke,s2,Chironominae,23,5343820,1510562
Burke,s2,Coloburiscus,7,5343820,1510562
Burke,s2,Copepoda,5,5343820,1510562
Burke,s2,Deleatidium,5,5343820,1510562
Burke,s2,Diamesinae,2,5343820,1510562
Burke,s2,Elmidae,11,5343820,1510562
Burke,s2,Hydraenidae,1,5343820,1510562
Burke,s2,Hydrobiosella,1,5343820,1510562
Burke,s2,Hydrobiosis,12,5343820,1510562
Burke,s2,Oligochaetae,16,5343820,1510562
Burke,s2,Orthocladiinae,105,5343820,1510562
Burke,s2,Ostracoda,10,5343820,1510562
Burke,s2,Potamopyrgus,4,5343820,1510562
Burke,s2,Psilochorema,1,5343820,1510562
Burke,s2,Pycnocentrella,6,5343820,1510562
Burke,s2,Scirtidae,3,5343820,1510562
Burke,s2,Spaniocerca,38,5343820,1510562
Burke,s2,Zelandobius,2,5343820,1510562
Burke,s3,Acari,3,5343820,1510562
Burke,s3,Aoteapsyche,14,5343820,1510562
Burke,s3,Austroperla,3,5343820,1510562
Burke,s3,Austrosimulium,17,5343820,1510562
Burke,s3,Ceratopogonidae,3,5343820,1510562
Burke,s3,Chironominae,8,5343820,1510562
Burke,s3,Coloburiscus,2,5343820,1510562
Burke,s3,Deleatidium,3,5343820,1510562
Burke,s3,Diamesinae,8,5343820,1510562
Burke,s3,Dytiscidae,1,5343820,1510562
Burke,s3,Elmidae,2,5343820,1510562
Burke,s3,Eriopterini,1,5343820,1510562
Burke,s3,Hydrobiosella,1,5343820,1510562
Burke,s3,Hydrobiosis,5,5343820,1510562
Burke,s3,Oligochaetae,29,5343820,1510562
Burke,s3,Orthocladiinae,71,5343820,1510562
Burke,s3,Ostracoda,1,5343820,1510562
Burke,s3,Paralimnophila,2,5343820,1510562
Burke,s3,Potamopyrgus,4,5343820,1510562
Burke,s3,Psilochorema,3,5343820,1510562
Burke,s3,Scirtidae,1,5343820,1510562
Burke,s3,Spaniocerca,5,5343820,1510562
Burnet,s1,Acari,1,5376034,1500272
Burnet,s1,Ameletopsis,1,5376034,1500272
Burnet,s1,Austrosimulium,1,5376034,1500272
Burnet,s1,Deleatidium,31,5376034,1500272
Burnet,s1,Elmidae,3,5376034,1500272
Burnet,s1,Eriopterini,1,5376034,1500272
Burnet,s1,Helicopsyche,1,5376034,1500272
Burnet,s1,Hydrobiosella,1,5376034,1500272
Burnet,s1,Limonia,1,5376034,1500272
Burnet,s1,Oligochaetae,22,5376034,1500272
Burnet,s1,Orthocladiinae,27,5376034,1500272
Burnet,s1,Oxyethira,2,5376034,1500272
Burnet,s1,Stenoperla,1,5376034,1500272
Burnet,s1,Tanypodinae,5,5376034,1500272
Burnet,s1,Zelandobius,25,5376034,1500272
Burnet,s2,Acari,20,5376034,1500272
Burnet,s2,Ameletopsis,3,5376034,1500272
Burnet,s2,Austrosimulium,2,5376034,1500272
Burnet,s2,Ceratopogonidae,6,5376034,1500272
Burnet,s2,Copepoda,25,5376034,1500272
Burnet,s2,Deleatidium,61,5376034,1500272
Burnet,s2,Elmidae,1,5376034,1500272
Burnet,s2,Empididae,2,5376034,1500272
Burnet,s2,Eriopterini,2,5376034,1500272
Burnet,s2,Hydrobiosella,6,5376034,1500272
Burnet,s2,Hydrobiosis,5,5376034,1500272
Burnet,s2,Limonia,1,5376034,1500272
Burnet,s2,Oligochaetae,119,5376034,1500272
Burnet,s2,Orthocladiinae,125,5376034,1500272
Burnet,s2,Oxyethira,1,5376034,1500272
Burnet,s2,Psilochorema,2,5376034,1500272
Burnet,s2,Stenoperla,3,5376034,1500272
Burnet,s2,Tanypodinae,3,5376034,1500272
Burnet,s2,Zelandobius,121,5376034,1500272
Burnet,s3,Acari,22,5376034,1500272
Burnet,s3,Aoteapsyche,2,5376034,1500272
Burnet,s3,Austroperla,6,5376034,1500272
Burnet,s3,Austrosimulium,4,5376034,1500272
Burnet,s3,Beraeoptera,9,5376034,1500272
Burnet,s3,Ceratopogonidae,4,5376034,1500272
Burnet,s3,Copepoda,2,5376034,1500272
Burnet,s3,Deleatidium,45,5376034,1500272
Burnet,s3,Elmidae,1,5376034,1500272
Burnet,s3,Empididae,13,5376034,1500272
Burnet,s3,Hydraenidae,5,5376034,1500272
Burnet,s3,Hydrobiosis,13,5376034,1500272
Burnet,s3,Oligochaetae,36,5376034,1500272
Burnet,s3,Orthocladiinae,122,5376034,1500272
Burnet,s3,Oxyethira,5,5376034,1500272
Burnet,s3,Paraleptamphopus,1,5376034,1500272
Burnet,s3,Pycnocentrodes,1,5376034,1500272
Burnet,s3,Tanypodinae,2,5376034,1500272
Burnet,s3,Zelandobius,14,5376034,1500272
Burnet Tributary,s1,Acari,1,5376409,1500722
Burnet Tributary,s1,Aoteapsyche,1,5376409,1500722
Burnet Tributary,s1,Austrosimulium,1,5376409,1500722
Burnet Tributary,s1,Chironominae,4,5376409,1500722
Burnet Tributary,s1,Deleatidium,9,5376409,1500722
Burnet Tributary,s1,Elmidae,2,5376409,1500722
Burnet Tributary,s1,Oligochaetae,21,5376409,1500722
Burnet Tributary,s1,Orthocladiinae,56,5376409,1500722
Burnet Tributary,s1,Psilochorema,1,5376409,1500722
Burnet Tributary,s1,Rakiura,1,5376409,1500722
Burnet Tributary,s1,Tanypodinae,1,5376409,1500722
Burnet Tributary,s1,Zelandobius,8,5376409,1500722
Burnet Tributary,s2,Aoteapsyche,5,5376409,1500722
Burnet Tributary,s2,Austrosimulium,20,5376409,1500722
Burnet Tributary,s2,Ceratopogonidae,2,5376409,1500722
Burnet Tributary,s2,Deleatidium,39,5376409,1500722
Burnet Tributary,s2,Diamesinae,4,5376409,1500722
Burnet Tributary,s2,Empididae,6,5376409,1500722
Burnet Tributary,s2,Oligochaetae,18,5376409,1500722
Burnet Tributary,s2,Orthocladiinae,27,5376409,1500722
Burnet Tributary,s2,Psilochorema,3,5376409,1500722
Burnet Tributary,s2,Pycnocentria,3,5376409,1500722
Burnet Tributary,s2,Zelandobius,24,5376409,1500722
Burnet Tributary,s2,Zelandoperla,1,5376409,1500722
Burnet Tributary,s3,Deleatidium,3,5376409,1500722
Burnet Tributary,s3,Elmidae,1,5376409,1500722
Burnet Tributary,s3,Orthocladiinae,3,5376409,1500722
Burnet Tributary,s3,Rakiura,1,5376409,1500722
Burnet Tributary,s3,Stenoperla,1,5376409,1500722
Burnet Tributary,s3,Zelandobius,3,5376409,1500722
Cannel,s1,Oligochaetae,1,5309056,1457153
Cannel,s1,Orthocladiinae,1,5309056,1457153
Cannel,s2,Acari,1,5309056,1457153
Cannel,s2,Aoteapsyche,3,5309056,1457153
Cannel,s2,Deleatidium,1,5309056,1457153
Cannel,s2,Orthocladiinae,5,5309056,1457153
Cannel,s3,Acari,1,5309056,1457153
Cannel,s3,Orthocladiinae,4,5309056,1457153
Charming,s1,Acari,1,5395578,1512982
Charming,s1,Aoteapsyche,3,5395578,1512982
Charming,s1,Austroperla,1,5395578,1512982
Charming,s1,Chironominae,25,5395578,1512982
Charming,s1,Coloburiscus,1,5395578,1512982
Charming,s1,Deleatidium,15,5395578,1512982
Charming,s1,Empididae,1,5395578,1512982
