site,sampling_method,sample,sampling_area,organism_group,taxon,body_mass,body_length,body_weight_units,body_length_units,count,multiplier
Warne,surber,1,0.06,macroinvertebrate,Acari,6.57e-6,0.99,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Austrosimulium,3.27531e-4,4.78,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Austrosimulium,7.43e-5,2.59,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Coloburiscus,2.24831e-4,2.39,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Coloburiscus,3.26591e-4,2.78,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Deleatidium,2.82e-5,1.81,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Deleatidium,4.35093e-4,4.43,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Deleatidium,1.05935e-4,2.79,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Deleatidium,3.22e-5,1.89,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Deleatidium,5.64e-5,2.27,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Hydraenidae,9.11307e-4,1.81,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Hydraenidae,0.001121069,1.93,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Hydrobiosis,2.64221e-4,5.73,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Hydrobiosis,3.82e-5,2.4,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,8.37e-5,1.67,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,1.66432e-4,2.15,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,2.37449e-4,2.45,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,0.00026475099999999997,2.55,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,3.18734e-4,2.73,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,3.34868e-4,2.78,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,2.24495e-4,2.4,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,1.6019e-4,2.12,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,3.6519e-4,2.87,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,2.67585e-4,2.56,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,2.04716e-4,2.32,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,2.09553e-4,2.34,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,3.4479e-4,2.81,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,8.79e-5,1.7,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,3.25127e-4,2.75,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,2.9396e-4,2.65,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,3.89934e-4,2.94,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,3.65e-5,1.44,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,1.18372e-4,2.16,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,1.06097e-4,2.08,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,1.01718e-4,2.05,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,7.91e-5,1.88,g,mm,1,16.666666666666668
